赛季,球队,场次,时间,首发,投篮,二分命中率,三分,三分命中率,罚球,罚球命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
2005,骑士,13,13,46.5,11.2-23.6,48.0%,1.6-4.8,33.0%,6.7-9.1,74.0%,8.1,5.8,1.38,0.69,5.00,3.38,30.8
2006,骑士,20,20,44.6,8.3-19.9,42.0%,1.1-3.8,28.0%,7.4-9.8,76.0%,8.1,8.0,1.70,0.50,3.30,2.00,25.1
2007,骑士,13,13,42.5,8.7-21.2,41.0%,1.4-5.4,26.0%,9.4-12.8,73.0%,7.8,7.6,1.77,1.31,4.15,2.54,28.2
2008,骑士,14,14,41.4,11.4-22.3,51.0%,1.9-5.8,33.0%,10.6-14.2,75.0%,9.1,7.3,1.64,0.86,2.71,2.14,35.3
2009,骑士,11,11,41.8,9.6-19.2,50.0%,1.8-4.5,40.0%,8.0-10.9,73.0%,9.3,7.6,1.73,1.82,3.82,2.09,29.1
2010,热火,21,21,43.9,8.3-17.8,47.0%,1.4-4.0,35.0%,5.7-7.4,76.0%,8.4,5.9,1.67,1.19,3.14,2.67,23.7
2011,热火,23,23,42.7,10.9-21.8,50.0%,1.0-3.7,26.0%,7.5-10.2,74.0%,9.7,5.6,1.87,0.70,3.52,2.04,30.3
2012,热火,23,23,41.7,9.2-18.8,49.0%,1.6-4.2,38.0%,5.9-7.6,78.0%,8.4,6.6,1.78,0.78,3.04,1.87,25.9
2013,热火,20,20,38.1,9.6-17.0,57.0%,1.8-4.3,41.0%,6.5-8.0,81.0%,7.0,4.8,1.80,0.55,3.05,2.30,27.4
2014,骑士,20,20,42.2,11.3-27.2,42.0%,1.2-5.5,23.0%,6.1-8.3,73.0%,11.3,8.4,1.65,1.05,4.10,2.90,30.1
2015,骑士,21,21,39.1,10.4-19.9,53.0%,1.5-4.5,34.0%,3.9-5.9,66.0%,9.5,7.6,2.33,1.29,3.57,2.57,26.3
2016,骑士,18,18,41.3,12.1-21.3,57.0%,2.4-5.9,41.0%,6.3-9.0,70.0%,9.1,7.8,1.94,1.28,4.00,2.39,32.8
2017,骑士,22,22,41.9,12.5-23.2,54.0%,1.8-5.2,34.0%,7.2-9.7,75.0%,9.1,9.0,1.36,1.05,4.27,2.36,34.0
2017,汇总,2,2,42.0,12.0-20.5,59.0%,1-4.5,22.0%,10.0-13.5,74.0%,11.0,8.5,1.50,0.50,3.00,1.50,35.0
2019,湖人,21,21,36.3,10.2-18.2,56.0%,2.1-5.7,37.0%,5.1-7.1,72.0%,10.8,8.8,1.24,0.86,4.00,1.90,27.6
2020,湖人,6,6,37.3,9.0-19.0,47.0%,3.0-8.0,38.0%,2.3-3.8,61.0%,7.2,8.0,1.50,0.33,4.17,1.17,23.3
2022,湖人,16,16,38.7,9.2-18.4,50.0%,1.8-6.6,26.0%,4.4-5.8,76.0%,9.9,6.5,1.06,1.12,2.50,1.75,24.5
